web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736665372-153;https://www.geantdrive.tn/tunis-city/160-le-marche;Mille feuille au choco...;;La barquette;3.400 DT
1736665372-154;https://www.geantdrive.tn/tunis-city/160-le-marche;Tomate cerise;;La barquette de 200g;3.411 DT
1736665372-155;https://www.geantdrive.tn/tunis-city/160-le-marche;Tomate cerise ronde;;La barquette de 250g;3.411 DT
1736665372-156;https://www.geantdrive.tn/tunis-city/160-le-marche;Oeufs frais;;6 Pièces;3.420 DT
1736665372-157;https://www.geantdrive.tn/tunis-city/160-le-marche;Palmier;;180GR;3.450 DT
1736665372-158;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de bœuf;;100GR Traditionnel;3.490 DT
1736665372-159;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain grillé fibres;;200GR;3.490 DT
1736665372-160;https://www.geantdrive.tn/tunis-city/160-le-marche;Mille feuille classiqu...;;La pièce;2.990 DT
1736665372-161;https://www.geantdrive.tn/tunis-city/160-le-marche;Fricassé;;8 Pièces-240GR;3.590 DT
1736665372-162;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de dinde;;250GR Fromage;3.590 DT
1736665372-163;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain grillé multicéréales;;200GR;3.590 DT
1736665372-164;https://www.geantdrive.tn/tunis-city/160-le-marche;Tarte aux dattes x2;;La pièce;3.600 DT
1736665372-165;https://www.geantdrive.tn/tunis-city/160-le-marche;Concombre;;Conditionné par 500g;3.680 DT/ Kg
1736665372-166;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie;;16 Tranches Graines de...;3.690 DT
1736665372-167;https://www.geantdrive.tn/tunis-city/160-le-marche;Dattes en cubes;;250GR;3.690 DT
1736665372-168;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de dinde au fro...;;200GR;3.700 DT
1736665372-169;https://www.geantdrive.tn/tunis-city/160-le-marche;Petit pain viennois au...;;10 Pièces;3.750 DT
1736665372-170;https://www.geantdrive.tn/tunis-city/160-le-marche;Piment meski;;Conditionné par 500g;3.790 DT/ Kg
1736665372-171;https://www.geantdrive.tn/tunis-city/160-le-marche;Piment fort;;Conditionné par 500g;3.790 DT/ Kg
1736665372-172;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami pur de bœuf tra...;;100GR;3.890 DT
1736665372-173;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de dinde;;300GR Au fromage;3.890 DT
1736665372-174;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain semoule à l'ancienne;;Conditionné par 1KG;3.900 DT/ Kg
1736665372-175;https://www.geantdrive.tn/tunis-city/160-le-marche;Dattes dénoyautées;;250GR;3.990 DT
1736665372-176;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de campagne en Bo...;;La pièce;4.000 DT
1736665372-177;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de campagne 800g;;La pièce;4.000 DT
1736665372-178;https://www.geantdrive.tn/tunis-city/160-le-marche;Aubergine;;Conditionné par 500g;4.020 DT/ Kg
1736665372-179;https://www.geantdrive.tn/tunis-city/160-le-marche;Poivron doux;;Conditionné par 500g;4.020 DT/ Kg
1736665372-180;https://www.geantdrive.tn/tunis-city/160-le-marche;Courge potimarron;;Conditionné par 500g;4.030 DT/ Kg
1736665372-181;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie brioche mo...;;20 Tranches;2.890 DT
1736665372-182;https://www.geantdrive.tn/tunis-city/160-le-marche;American sandwich;;18 Tranches Nature;4.190 DT
1736665372-183;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain chawarma;;10 Pièces;4.290 DT
1736665372-184;https://www.geantdrive.tn/tunis-city/160-le-marche;Œufs frais;;6Pièces Oméga 3;4.340 DT
1736665372-185;https://www.geantdrive.tn/tunis-city/160-le-marche;Avocat Hass;;La pièce Grand calibre;4.350 DT
1736665372-186;https://www.geantdrive.tn/tunis-city/160-le-marche;Pomme de terre grenail...;;500GR;4.380 DT
1736665372-187;https://www.geantdrive.tn/tunis-city/160-le-marche;Tarte au chocolat x2;;La barquette;4.400 DT
1736665372-188;https://www.geantdrive.tn/tunis-city/160-le-marche;Opéra au chocolat et a...;;La pièce;4.400 DT
1736665372-189;https://www.geantdrive.tn/tunis-city/160-le-marche;Œufs;;6Pièces Ovita;4.430 DT
1736665372-190;https://www.geantdrive.tn/tunis-city/160-le-marche;Œuf frais;;6 pièces Oméga 3;4.500 DT
1736665372-191;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de dinde;;250GR Tunisien;4.590 DT
1736665372-192;https://www.geantdrive.tn/tunis-city/160-le-marche;Courgette;;Conditionné par 500g;4.600 DT/ Kg
1736665372-193;https://www.geantdrive.tn/tunis-city/160-le-marche;Pavé complet de thon e...;;La pièce;4.700 DT
1736665372-194;https://www.geantdrive.tn/tunis-city/160-le-marche;Mini salami de bœuf;;200GR;4.780 DT
1736665372-195;https://www.geantdrive.tn/tunis-city/160-le-marche;Viennoiserie;;3 Pains au chocolat +3...;4.800 DT
1736665372-196;https://www.geantdrive.tn/tunis-city/160-le-marche;Cheese cake aux griott...;;La pièce;4.800 DT
1736665372-197;https://www.geantdrive.tn/tunis-city/160-le-marche;Super salami de dinde ...;;400GR;4.890 DT
1736665372-198;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de bœuf;;250GR;4.890 DT
1736665372-199;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain au maÏs;;La pièce;4.900 DT
1736665372-200;https://www.geantdrive.tn/tunis-city/160-le-marche;Mini salami de dinde;;370GR;4.900 DT
1736665372-201;https://www.geantdrive.tn/tunis-city/160-le-marche;Tomate cerise rouge;;500GR;4.920 DT/ Kg
1736665372-202;https://www.geantdrive.tn/tunis-city/160-le-marche;Aubergine;;Conditionné par 500g;5.100 DT/ Kg
1736665372-203;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain complet;;Conditionné par 1KG;5.200 DT/ Kg
1736665372-204;https://www.geantdrive.tn/tunis-city/160-le-marche;Mini salami de bœuf;;370GR;5.230 DT
1736665372-205;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain au fondant ou sch...;;La barquette;5.300 DT
1736665372-206;https://www.geantdrive.tn/tunis-city/160-le-marche;Raisins secs;;100GR Golden;5.490 DT
1736665372-207;https://www.geantdrive.tn/tunis-city/160-le-marche;Mangue;;La pièce;5.540 DT
1736665372-208;https://www.geantdrive.tn/tunis-city/160-le-marche;Sandwich escalope de d...;;La pièce;5.800 DT
1736665372-209;https://www.geantdrive.tn/tunis-city/160-le-marche;Menthe sèche;;Le sachet;5.890 DT
1736665372-210;https://www.geantdrive.tn/tunis-city/160-le-marche;Tarte au chocolat nois...;;La barquette;6.000 DT
1736665372-211;https://www.geantdrive.tn/tunis-city/160-le-marche;Saucisses Frankfurt fu...;;200GR;6.000 DT
1736665372-212;https://www.geantdrive.tn/tunis-city/160-le-marche;Schnecke à la margarin...;;La barquette;6.000 DT
1736665372-213;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami pepperoni;;250GR;6.090 DT
1736665372-214;https://www.geantdrive.tn/tunis-city/160-le-marche;Dattes branchées;;500GR;6.150 DT
1736665372-215;https://www.geantdrive.tn/tunis-city/160-le-marche;Datte branchée;;400GR;6.150 DT
1736665372-216;https://www.geantdrive.tn/tunis-city/160-le-marche;Bergamotte;;Conditionné par 500g;6.150 DT/ Kg
1736665372-217;https://www.geantdrive.tn/tunis-city/160-le-marche;Paraliné au noisette x2;;La pièce;6.200 DT
1736665372-218;https://www.geantdrive.tn/tunis-city/160-le-marche;Opéra;;2Pièces Chocolat-Café;6.400 DT
1736665372-219;https://www.geantdrive.tn/tunis-city/160-le-marche;Torsadés feuilletées;;La barquette Au beurre...;6.500 DT
1736665372-220;https://www.geantdrive.tn/tunis-city/160-le-marche;Œufs frais;;15 Pièces Jaune orange;6.680 DT
1736665372-221;https://www.geantdrive.tn/tunis-city/160-le-marche;Pomme golden A;;Conditionné par 500g;6.770 DT/ Kg
1736665372-222;https://www.geantdrive.tn/tunis-city/160-le-marche;Pomme délicieuse A;;Conditionné par 500g;6.900 DT/ Kg
1736665372-223;https://www.geantdrive.tn/tunis-city/160-le-marche;Haricot vert;;Conditionné par 500g;6.900 DT/ Kg
1736665372-224;https://www.geantdrive.tn/tunis-city/160-le-marche;Saucisses de Frankfurt...;;230GR;6.900 DT
1736665372-225;https://www.geantdrive.tn/tunis-city/160-le-marche;Petit pois;;Conditionné par 500g;6.900 DT/ Kg
1736665372-226;https://www.geantdrive.tn/tunis-city/160-le-marche;Fonds de tartelettes;;9 Pièces;6.990 DT
1736665372-227;https://www.geantdrive.tn/tunis-city/160-le-marche;Banane;;Conditionné par 500g;7.000 DT/ Kg
1736665372-228;https://www.geantdrive.tn/tunis-city/160-le-marche;Jambon de dinde fumé;;95GR;6.290 DT
1736665372-229;https://www.geantdrive.tn/tunis-city/160-le-marche;Pot au feu;;Le KG;7.500 DT
1736665372-230;https://www.geantdrive.tn/tunis-city/160-le-marche;Œuf frais;;15 pièces;7.875 DT
1736665372-231;https://www.geantdrive.tn/tunis-city/160-le-marche;Dattes standards;;1KG;8.030 DT
1736665372-232;https://www.geantdrive.tn/tunis-city/160-le-marche;Pot au feu;;La barquette;8.030 DT
1736665372-233;https://www.geantdrive.tn/tunis-city/160-le-marche;Œuf frais;;Jaune orange 15 pièces;8.100 DT
1736665372-234;https://www.geantdrive.tn/tunis-city/160-le-marche;Œuf frais;;15 pièces;8.490 DT
1736665372-235;https://www.geantdrive.tn/tunis-city/160-le-marche;Poulet pac;;LE KG;8.500 DT/ Kg
1736665372-236;https://www.geantdrive.tn/tunis-city/160-le-marche;Salami de bœuf;;400GR;8.670 DT
1736665372-237;https://www.geantdrive.tn/tunis-city/160-le-marche;Chorizo;;180GR;8.980 DT
1736665372-238;https://www.geantdrive.tn/tunis-city/160-le-marche;Œufs frais;;15 Pièces Brunes Jaune...;8.990 DT
