web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736667595-2985;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°7/1 So nature;15.990 DT
1736667595-2986;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Papier dépilatoire cire;5M;100Pièces;15.990 DT
1736667595-2987;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;HUDA BEAUTY;250ML Protéine;15.990 DT
1736667595-2988;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°6/0 So nature;15.990 DT
1736667595-2989;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Mascara maxx lashes;LELLA;N°60;15.990 DT
1736667595-2990;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°8/1 So nature;15.990 DT
1736667595-2991;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°5/0 So nature;15.990 DT
1736667595-2992;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Trousse de maquillage ...;;REF MCC 1901;15.990 DT
1736667595-2993;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Dentifrice;SIGNAL;75ML Detox charbon...;10.900 DT
1736667595-2994;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;HUDA BEAUTY;250ML Kératine;15.990 DT
1736667595-2995;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°7/0 So nature;15.990 DT
1736667595-2996;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Pinceau maquillage;AZAL;Ref: MUB 2/15;15.990 DT
1736667595-2997;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°9/1 So nature;15.990 DT
1736667595-2998;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;DENTIFRICE SIGNAL WHIT...;SIGNAL;75ML White now sensitive;10.900 DT
1736667595-2999;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque capillaire;HUDA BEAUTY;250ML Collagène;15.990 DT
1736667595-3000;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Kit coloration sans am...;RENEE BLANCHE;N°8/0 So nature;15.990 DT
1736667595-3001;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Shampooing;RENEE BLANCHE;500ML Sans sulfate Botox;15.990 DT
1736667595-3002;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Poudre bronzing;TOPFACE;N°05 424481760;16.140 DT
