web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736613405-788;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;1 L Mango;99.900 DT
1736613405-789;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;100CL Vanille;99.900 DT
1736613405-790;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;DOMAINE DU COLOMBIER;75CL Hermitage;99.900 DT
1736613405-791;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;CHABLIS;150CL Besson 2015;99.990 DT
1736613405-792;https://www.geantdrive.tn/tunis-city/10-boissons;Martini;BITTER;1L;99.990 DT
1736613405-793;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JOHNNIE WALKER;20CL Black label;102.000 DT
1736613405-794;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;DANZKA;1.75L Original 40D;104.900 DT
1736613405-795;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;JOSEPH MELLOT LES BREMAILLES 2019;75CL;105.000 DT
1736613405-796;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;TOBIA;75CL;105.000 DT
1736613405-797;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;GAIA NOTIOS;75CL;105.000 DT
1736613405-798;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;TOBIA;75CL;105.000 DT
1736613405-799;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc de blanc;K BY KURUBIS;75CL Chardonnay...;105.000 DT
1736613405-800;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;BOTT GEYL17;75CL Riesling les...;105.390 DT
1736613405-801;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;UNDURRAGA CABERNET SAUVIGNON;75CL;106.000 DT
1736613405-802;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JACK DANIEL'S;37.5CL Honey;109.000 DT
1736613405-803;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;TERRE NATUZZI;75CL;109.000 DT
1736613405-804;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;APEROL ERITIVO;100CL Nature;109.900 DT
1736613405-805;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;CROCODILE DIAMANTE;75CL;110.000 DT
1736613405-806;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rosé;CROCODILE DIAMANTE;75CL;110.000 DT
1736613405-807;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;CROCODILE DIAMANTE;75CL;110.000 DT
1736613405-808;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;FAMOUS GROUSE;70CL 40D;111.100 DT
1736613405-809;https://www.geantdrive.tn/tunis-city/10-boissons;Gin;GORDON'S;1L Pink;111.700 DT
1736613405-810;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur rouge;MARTINI;100CL;79.900 DT
1736613405-811;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur blanc;MARTINI;100CL;79.900 DT
1736613405-812;https://www.geantdrive.tn/tunis-city/10-boissons;Calvados;FINE;70CL;116.990 DT
1736613405-813;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;CHÂTEAU MONTUS;75CL Madiran;117.000 DT
1736613405-814;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;DONNA FUGATTA;75CL Sedara;119.000 DT
1736613405-815;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;BALLANTINE;1 L;119.000 DT
1736613405-816;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;ANTHILIA;75CL Donna fugatta;119.000 DT
1736613405-817;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JOHNNIE WALKER;75CL Red label;119.000 DT
1736613405-818;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rosé;DONNA FUGATTA LUMERA;75CL;119.000 DT
1736613405-819;https://www.geantdrive.tn/tunis-city/10-boissons;Pastis;HENRI BARDOUNIN;70CL 45D;119.000 DT
1736613405-820;https://www.geantdrive.tn/tunis-city/10-boissons;Rhum;CAPTAIN MORGAN;1L White;119.900 DT
1736613405-821;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JAMESON;70CL;122.900 DT
1736613405-822;https://www.geantdrive.tn/tunis-city/10-boissons;Tequila;EL JIMADOR;70CL Blanco;124.990 DT
1736613405-823;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;GRAND MARINIER;70CL Cordon rouge;126.800 DT
1736613405-824;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;1L Gold;127.000 DT
1736613405-825;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;1 L 100;122.900 DT
1736613405-826;https://www.geantdrive.tn/tunis-city/10-boissons;Vin mousseux rosé;CAFE DE PARIS;75CL;129.450 DT
1736613405-827;https://www.geantdrive.tn/tunis-city/10-boissons;Gin;BEEFEATER;1L;129.600 DT
1736613405-828;https://www.geantdrive.tn/tunis-city/10-boissons;Tequila;JOSE CUERVO;1 L;129.990 DT
1736613405-829;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;CAMPARI BITTER;100CL Vanille;105.900 DT
1736613405-830;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SMIRNOFF;1L White;131.990 DT
1736613405-831;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SMIRNOFF;1.5L Red;133.000 DT
1736613405-832;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;J&B;1 L;132.900 DT
1736613405-833;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;DONNA FUGATTA;75CL Sherazade;139.000 DT
1736613405-834;https://www.geantdrive.tn/tunis-city/10-boissons;Champagne;ALFRED ROTHSCHILD ET CIE;37.5CL Brut;139.000 DT
1736613405-835;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge;BOURGOGNE;75CL Hautes côtes de nuit;139.000 DT
1736613405-836;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rosé;CHÂTEAU D'ESTOUBLON;75CL Roseblood;139.000 DT
1736613405-837;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;VERMENTINO;75CL Santa cristina;139.000 DT
1736613405-838;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;CHÂTEAU D'ESTOUBLON;75CL Roseblood;139.000 DT
1736613405-839;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;KAHLUA;1L Crème café;147.150 DT
1736613405-840;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;DEWAR;75CL;147.900 DT
1736613405-841;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;CHIVAS REGAL;50CL 12 YO;148.990 DT
1736613405-842;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;GRANT'S;75CL Triple wood 12 YO;149.000 DT
1736613405-843;https://www.geantdrive.tn/tunis-city/10-boissons;Vin rouge mousseux;OPERE 27 LAMBRUSCO;75CL;149.000 DT
1736613405-844;https://www.geantdrive.tn/tunis-city/10-boissons;Rhum;BACARDI;1L Carta negra;157.350 DT
1736613405-845;https://www.geantdrive.tn/tunis-city/10-boissons;Martini asti;SPUMENTI;75CL;157.500 DT
1736613405-846;https://www.geantdrive.tn/tunis-city/10-boissons;Tequila;OLMECA ALTOS PLATA;70CL 38%;159.000 DT
1736613405-847;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JAMESON;70CL Mandarin;154.990 DT
1736613405-848;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;THE FAMOUS GROUSE;1L 40D;166.700 DT
1736613405-849;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JAMESON;1 L;168.990 DT
1736613405-850;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;HAIG CLUB;70CL 40D;169.900 DT
1736613405-851;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;BELVEDERE;50CL Pure;174.990 DT
1736613405-852;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;1.75L Bleu;172.900 DT
1736613405-853;https://www.geantdrive.tn/tunis-city/10-boissons;Rhum;HAVANA CLUB;1L 3 Years;179.000 DT
1736613405-854;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SMIRNOFF;1L Gold;191.900 DT
1736613405-855;https://www.geantdrive.tn/tunis-city/10-boissons;Gin;HENDRICK'S;700ML;194.800 DT
1736613405-856;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;KETEL ONE;1 L Mandarin;199.400 DT
1736613405-857;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JACK DANIEL'S;70CL N°7;204.990 DT
1736613405-858;https://www.geantdrive.tn/tunis-city/10-boissons;Tequila;OLMECA;1L Blanco;209.000 DT
1736613405-859;https://www.geantdrive.tn/tunis-city/10-boissons;Champagne brut;ROBERT DE MONTY;75CL;219.000 DT
1736613405-860;https://www.geantdrive.tn/tunis-city/10-boissons;Tequila;OLMECA;1L Gold;219.000 DT
1736613405-861;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JACK DANIEL'S;70CL;222.000 DT
1736613405-862;https://www.geantdrive.tn/tunis-city/10-boissons;Anise;PERNOD;70CL Absinthe;222.990 DT
1736613405-863;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;JACK DANIEL'S;70CL Tenessee apple;231.090 DT
1736613405-864;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;BELVEDERE;75CL Blackberry &...;234.900 DT
